50
50
38,50,38,53,70,79,37,100,33,83,56,27,81,47,73,81,40,83,91,84,43,69,39,92,76,37,41,44,51,46,38,64,51,71,32,83,57,59,70,31,96,25,60,79,79,72,45,51,81,94
0.89,0.64,0.8,0.8,0.63,0.8,0.82,0.73,0.67,0.7,0.72,0.67,0.79,0.72,0.79,0.76,0.63,0.74,0.63,0.82,0.76,0.66,0.61,0.88,0.73,0.84,0.77,0.8,0.66,0.67,0.86,0.73,0.83,0.64,0.64,0.64,0.87,0.65,0.7,0.71,0.71,0.75,0.72,0.88,0.66,0.84,0.62,0.61,0.82,0.64
0.67,0.66,0.72,0.72,0.83,0.65,0.86,0.73,0.87,0.67,0.64,0.72,0.89,0.85,0.9,0.69,0.7,0.81,0.68,0.89,0.74,0.61,0.82,0.74,0.77,0.87,0.84,0.62,0.85,0.82,0.71,0.61,0.74,0.6,0.88,0.62,0.88,0.89,0.69,0.83,0.65,0.62,0.66,0.69,0.75,0.83,0.69,0.71,0.8,0.84
0.68,0.7,0.82,0.87,0.84,0.73,0.84,0.61,0.64,0.85,0.81,0.9,0.8,0.89,0.66,0.77,0.88,0.89,0.77,0.61,0.61,0.86,0.64,0.81,0.87,0.82,0.68,0.69,0.65,0.86,0.8,0.9,0.86,0.89,0.86,0.76,0.71,0.76,0.78,0.66,0.78,0.63,0.76,0.67,0.63,0.77,0.62,0.65,0.77,0.79
0.84,0.9,0.74,0.6,0.78,0.68,0.87,0.89,0.67,0.85,0.82,0.72,0.63,0.68,0.73,0.74,0.65,0.74,0.88,0.89,0.9,0.89,0.79,0.87,0.68,0.61,0.77,0.65,0.81,0.78,0.89,0.84,0.68,0.65,0.81,0.69,0.86,0.89,0.86,0.8,0.82,0.73,0.78,0.83,0.76,0.87,0.64,0.61,0.75,0.62
0.8,0.75,0.7,0.78,0.71,0.8,0.87,0.82,0.86,0.7,0.85,0.71,0.76,0.67,0.84,0.76,0.83,0.63,0.74,0.79,0.71,0.75,0.74,0.83,0.8,0.68,0.81,0.88,0.88,0.84,0.7,0.76,0.84,0.81,0.72,0.81,0.86,0.88,0.61,0.75,0.89,0.79,0.85,0.74,0.89,0.66,0.87,0.63,0.86,0.65
0.8,0.79,0.86,0.83,0.74,0.66,0.76,0.8,0.67,0.8,0.78,0.87,0.62,0.66,0.68,0.69,0.65,0.72,0.68,0.65,0.81,0.72,0.77,0.86,0.72,0.9,0.71,0.75,0.67,0.77,0.78,0.83,0.75,0.85,0.66,0.77,0.67,0.82,0.7,0.79,0.71,0.81,0.62,0.77,0.66,0.87,0.77,0.77,0.68,0.81
0.6,0.68,0.74,0.83,0.6,0.71,0.84,0.63,0.62,0.89,0.8,0.73,0.63,0.88,0.62,0.88,0.73,0.71,0.86,0.63,0.61,0.79,0.69,0.65,0.81,0.63,0.83,0.69,0.65,0.62,0.71,0.89,0.79,0.72,0.83,0.8,0.79,0.68,0.64,0.77,0.69,0.7,0.64,0.87,0.83,0.72,0.75,0.76,0.63,0.69
0.69,0.81,0.64,0.71,0.81,0.61,0.7,0.83,0.61,0.64,0.71,0.74,0.84,0.88,0.61,0.71,0.64,0.74,0.77,0.88,0.7,0.78,0.66,0.89,0.85,0.75,0.75,0.64,0.73,0.75,0.65,0.61,0.82,0.6,0.87,0.68,0.7,0.67,0.79,0.65,0.76,0.69,0.8,0.69,0.84,0.85,0.65,0.74,0.71,0.7
0.88,0.65,0.88,0.75,0.85,0.73,0.62,0.64,0.67,0.61,0.89,0.69,0.86,0.77,0.85,0.63,0.77,0.89,0.67,0.73,0.87,0.78,0.74,0.71,0.67,0.66,0.87,0.68,0.68,0.82,0.69,0.65,0.9,0.88,0.74,0.65,0.8,0.73,0.79,0.78,0.63,0.66,0.63,0.89,0.81,0.74,0.61,0.79,0.82,0.85
