25
25
62,99,86,27,40,48,38,79,28,27,49,50,51,82,64,45,48,89,66,86,90,40,30,89,37
0.88,0.87,0.72,0.89,0.78,0.61,0.86,0.76,0.75,0.62,0.87,0.84,0.81,0.71,0.79,0.89,0.68,0.6,0.63,0.61,0.65,0.67,0.9,0.85,0.62
0.89,0.89,0.7,0.88,0.72,0.73,0.77,0.88,0.82,0.76,0.77,0.72,0.7,0.66,0.77,0.81,0.89,0.72,0.74,0.6,0.72,0.87,0.82,0.66,0.66
0.79,0.69,0.76,0.73,0.78,0.62,0.76,0.65,0.77,0.62,0.83,0.82,0.69,0.74,0.84,0.62,0.69,0.68,0.87,0.69,0.88,0.84,0.68,0.73,0.71
0.86,0.88,0.86,0.72,0.9,0.65,0.77,0.86,0.89,0.88,0.82,0.69,0.74,0.88,0.85,0.67,0.73,0.86,0.82,0.72,0.6,0.73,0.77,0.7,0.83
0.62,0.88,0.85,0.61,0.65,0.79,0.69,0.66,0.62,0.66,0.76,0.89,0.6,0.77,0.89,0.87,0.81,0.84,0.74,0.69,0.64,0.86,0.86,0.78,0.84
0.8,0.8,0.76,0.66,0.63,0.65,0.71,0.6,0.77,0.83,0.62,0.64,0.79,0.6,0.78,0.62,0.87,0.86,0.81,0.7,0.88,0.65,0.71,0.87,0.61
0.61,0.83,0.79,0.79,0.84,0.73,0.76,0.69,0.88,0.66,0.77,0.84,0.79,0.72,0.79,0.64,0.63,0.86,0.71,0.6,0.77,0.74,0.76,0.86,0.65
0.63,0.76,0.68,0.66,0.7,0.73,0.76,0.8,0.63,0.69,0.78,0.63,0.62,0.79,0.86,0.77,0.84,0.85,0.82,0.69,0.86,0.72,0.67,0.78,0.84
0.77,0.77,0.87,0.82,0.8,0.75,0.79,0.84,0.77,0.69,0.71,0.8,0.72,0.8,0.9,0.86,0.78,0.62,0.7,0.63,0.74,0.76,0.73,0.82,0.68
0.78,0.88,0.74,0.71,0.67,0.78,0.74,0.88,0.67,0.69,0.61,0.88,0.64,0.65,0.84,0.67,0.69,0.88,0.69,0.64,0.82,0.72,0.65,0.77,0.84
0.64,0.64,0.72,0.89,0.73,0.85,0.83,0.63,0.83,0.65,0.8,0.84,0.84,0.81,0.8,0.61,0.73,0.83,0.71,0.66,0.83,0.87,0.85,0.78,0.89
0.66,0.7,0.64,0.61,0.9,0.84,0.62,0.84,0.64,0.78,0.9,0.75,0.72,0.76,0.77,0.68,0.85,0.67,0.87,0.85,0.71,0.85,0.81,0.84,0.76
0.83,0.78,0.72,0.74,0.68,0.68,0.77,0.81,0.89,0.71,0.72,0.81,0.69,0.83,0.71,0.74,0.7,0.68,0.83,0.63,0.78,0.73,0.77,0.89,0.71
0.61,0.87,0.86,0.61,0.8,0.89,0.76,0.62,0.85,0.61,0.64,0.88,0.77,0.71,0.67,0.75,0.74,0.82,0.87,0.88,0.7,0.77,0.88,0.86,0.74
0.65,0.86,0.9,0.7,0.76,0.7,0.76,0.85,0.7,0.63,0.89,0.87,0.76,0.75,0.73,0.65,0.77,0.84,0.85,0.63,0.78,0.63,0.8,0.63,0.78
0.68,0.73,0.65,0.61,0.85,0.77,0.85,0.83,0.72,0.61,0.72,0.84,0.77,0.86,0.87,0.71,0.89,0.81,0.62,0.71,0.87,0.63,0.69,0.68,0.67
0.86,0.61,0.64,0.63,0.68,0.61,0.63,0.72,0.67,0.73,0.89,0.72,0.67,0.74,0.72,0.73,0.76,0.75,0.75,0.81,0.76,0.82,0.87,0.67,0.77
0.62,0.63,0.66,0.61,0.66,0.86,0.7,0.73,0.81,0.76,0.61,0.8,0.63,0.82,0.63,0.83,0.78,0.83,0.68,0.8,0.87,0.64,0.84,0.63,0.75
0.64,0.8,0.6,0.79,0.8,0.69,0.61,0.74,0.69,0.85,0.8,0.81,0.64,0.74,0.79,0.85,0.76,0.88,0.63,0.65,0.65,0.79,0.74,0.74,0.65
0.73,0.73,0.84,0.62,0.83,0.74,0.74,0.81,0.7,0.78,0.87,0.72,0.78,0.6,0.87,0.84,0.69,0.67,0.87,0.81,0.77,0.89,0.65,0.72,0.77
0.6,0.88,0.81,0.81,0.85,0.85,0.7,0.75,0.87,0.8,0.61,0.7,0.61,0.78,0.78,0.61,0.78,0.63,0.83,0.86,0.83,0.62,0.8,0.75,0.73
0.85,0.77,0.6,0.64,0.88,0.76,0.64,0.73,0.67,0.64,0.85,0.67,0.66,0.81,0.7,0.74,0.89,0.69,0.63,0.63,0.76,0.81,0.77,0.63,0.69
0.81,0.6,0.82,0.61,0.81,0.82,0.88,0.89,0.79,0.87,0.82,0.64,0.83,0.68,0.65,0.88,0.77,0.75,0.7,0.79,0.71,0.84,0.66,0.69,0.69
0.61,0.67,0.74,0.83,0.89,0.69,0.66,0.61,0.66,0.71,0.74,0.82,0.74,0.81,0.76,0.83,0.61,0.7,0.81,0.61,0.67,0.85,0.76,0.71,0.79
0.82,0.8,0.78,0.68,0.82,0.67,0.69,0.61,0.8,0.82,0.83,0.72,0.77,0.63,0.76,0.83,0.81,0.74,0.66,0.83,0.74,0.84,0.69,0.78,0.9
